lr,bsize,num epochs,input size,hidden size,test/loss,test/acc
0.0005,16.0,20.0,384.0,64.0,0.44098418951034546,0.8061760663986206
0.0005,16.0,20.0,384.0,64.0,0.43763628602027893,0.8015768527984619
0.0005,16.0,20.0,384.0,64.0,0.431243896484375,0.8048620223999023
0.0005,16.0,30.0,384.0,64.0,0.45620131492614746,0.7996057868003845
0.0005,16.0,30.0,384.0,64.0,0.4412286877632141,0.8081471920013428
0.0005,16.0,30.0,384.0,64.0,0.4350515604019165,0.8055190443992615
0.0005,16.0,60.0,384.0,64.0,0.501940906047821,0.7969776391983032
0.0005,16.0,60.0,384.0,64.0,0.47156059741973877,0.8048620223999023
0.0005,16.0,60.0,384.0,64.0,0.45103076100349426,0.8068330883979797
0.0005,32.0,20.0,384.0,64.0,0.4477817416191101,0.802890956401825
0.0005,32.0,20.0,384.0,64.0,0.44531649351119995,0.8009198307991028
0.0005,32.0,20.0,384.0,64.0,0.43982836604118347,0.8035479784011841
0.0005,32.0,30.0,384.0,64.0,0.45633959770202637,0.8002628087997437
0.0005,32.0,30.0,384.0,64.0,0.44435974955558777,0.8055190443992615
0.0005,32.0,30.0,384.0,64.0,0.4390603005886078,0.8074901700019836
0.0005,32.0,60.0,384.0,64.0,0.47904008626937866,0.8055190443992615
0.0005,32.0,60.0,384.0,64.0,0.46194493770599365,0.8074901700019836
0.0005,32.0,60.0,384.0,64.0,0.4545230269432068,0.8048620223999023
0.0005,64.0,20.0,384.0,64.0,0.4455203115940094,0.802890956401825
0.0005,64.0,20.0,384.0,64.0,0.4429420232772827,0.802890956401825
0.0005,64.0,20.0,384.0,64.0,0.4395861029624939,0.8002628087997437
0.0005,64.0,30.0,384.0,64.0,0.4451826512813568,0.802890956401825
0.0005,64.0,30.0,384.0,64.0,0.4431709349155426,0.7996057868003845
0.0005,64.0,30.0,384.0,64.0,0.43665215373039246,0.802890956401825
0.0005,64.0,60.0,384.0,64.0,0.45847287774086,0.809461236000061
0.0005,64.0,60.0,384.0,64.0,0.45050179958343506,0.8015768527984619
0.0005,64.0,60.0,384.0,64.0,0.4400463104248047,0.8088042140007019
0.0005,16.0,20.0,384.0,128.0,0.4441639482975006,0.8088042140007019
0.0005,16.0,20.0,384.0,128.0,0.4423483908176422,0.802233874797821
0.0005,16.0,20.0,384.0,128.0,0.43608424067497253,0.8035479784011841
0.0005,16.0,30.0,384.0,128.0,0.4612042307853699,0.8061760663986206
0.0005,16.0,30.0,384.0,128.0,0.4482150375843048,0.8120893836021423
0.0005,16.0,30.0,384.0,128.0,0.43703141808509827,0.8101182579994202
0.0005,16.0,60.0,384.0,128.0,0.5612704157829285,0.7976347208023071
0.0005,16.0,60.0,384.0,128.0,0.5124071836471558,0.8088042140007019
0.0005,16.0,60.0,384.0,128.0,0.4683678448200226,0.8140604496002197
0.0005,32.0,20.0,384.0,128.0,0.4483557939529419,0.8055190443992615
0.0005,32.0,20.0,384.0,128.0,0.44768357276916504,0.802890956401825
0.0005,32.0,20.0,384.0,128.0,0.44001293182373047,0.8048620223999023
0.0005,32.0,30.0,384.0,128.0,0.4615713655948639,0.8068330883979797
0.0005,32.0,30.0,384.0,128.0,0.45067042112350464,0.8114323019981384
0.0005,32.0,30.0,384.0,128.0,0.4444590210914612,0.8081471920013428
0.0005,32.0,60.0,384.0,128.0,0.5017596483230591,0.8055190443992615
0.0005,32.0,60.0,384.0,128.0,0.4814918637275696,0.8074901700019836
0.0005,32.0,60.0,384.0,128.0,0.4648875892162323,0.8107752799987793
0.0005,64.0,20.0,384.0,128.0,0.44755110144615173,0.7989487648010254
0.0005,64.0,20.0,384.0,128.0,0.4423743784427643,0.8055190443992615
0.0005,64.0,20.0,384.0,128.0,0.43964213132858276,0.802233874797821
0.0005,64.0,30.0,384.0,128.0,0.44797712564468384,0.8074901700019836
0.0005,64.0,30.0,384.0,128.0,0.4433020055294037,0.8002628087997437
0.0005,64.0,30.0,384.0,128.0,0.4387160539627075,0.8042050004005432
0.0005,64.0,60.0,384.0,128.0,0.4693261384963989,0.8114323019981384
0.0005,64.0,60.0,384.0,128.0,0.45476052165031433,0.8120893836021423
0.0005,64.0,60.0,384.0,128.0,0.4481240212917328,0.8055190443992615
0.0005,16.0,20.0,384.0,256.0,0.4538290500640869,0.8101182579994202
0.0005,16.0,20.0,384.0,256.0,0.4458819627761841,0.8081471920013428
0.0005,16.0,20.0,384.0,256.0,0.4364052712917328,0.8081471920013428
0.0005,16.0,30.0,384.0,256.0,0.49700725078582764,0.7989487648010254
0.0005,16.0,30.0,384.0,256.0,0.4653536379337311,0.8074901700019836
0.0005,16.0,30.0,384.0,256.0,0.4466680884361267,0.8107752799987793
0.0005,16.0,60.0,384.0,256.0,0.673546552658081,0.8048620223999023
0.0005,16.0,60.0,384.0,256.0,0.5922527313232422,0.8088042140007019
0.0005,16.0,60.0,384.0,256.0,0.5137337446212769,0.8074901700019836
0.0005,32.0,20.0,384.0,256.0,0.4537717401981354,0.802890956401825
0.0005,32.0,20.0,384.0,256.0,0.45020756125450134,0.8055190443992615
0.0005,32.0,20.0,384.0,256.0,0.441617488861084,0.8081471920013428
0.0005,32.0,30.0,384.0,256.0,0.4707736372947693,0.8140604496002197
0.0005,32.0,30.0,384.0,256.0,0.45841896533966064,0.8101182579994202
0.0005,32.0,30.0,384.0,256.0,0.44987568259239197,0.8114323019981384
0.0005,32.0,60.0,384.0,256.0,0.5848017334938049,0.7989487648010254
0.0005,32.0,60.0,384.0,256.0,0.5422541499137878,0.8068330883979797
0.0005,32.0,60.0,384.0,256.0,0.49056464433670044,0.802890956401825
0.0005,64.0,20.0,384.0,256.0,0.4438553750514984,0.8042050004005432
0.0005,64.0,20.0,384.0,256.0,0.4444250464439392,0.802233874797821
0.0005,64.0,20.0,384.0,256.0,0.436816930770874,0.8048620223999023
0.0005,64.0,30.0,384.0,256.0,0.4545062184333801,0.8140604496002197
0.0005,64.0,30.0,384.0,256.0,0.4443213641643524,0.8107752799987793
0.0005,64.0,30.0,384.0,256.0,0.43988895416259766,0.8042050004005432
0.0005,64.0,60.0,384.0,256.0,0.4998677968978882,0.802890956401825
0.0005,64.0,60.0,384.0,256.0,0.47778457403182983,0.802233874797821
0.0005,64.0,60.0,384.0,256.0,0.45605868101119995,0.8127464056015015
0.001,16.0,20.0,384.0,64.0,0.45199984312057495,0.8120893836021423
0.001,16.0,20.0,384.0,64.0,0.44172096252441406,0.815374493598938
0.001,16.0,20.0,384.0,64.0,0.4390571415424347,0.8088042140007019
0.001,16.0,30.0,384.0,64.0,0.4933188259601593,0.8068330883979797
0.001,16.0,30.0,384.0,64.0,0.46619686484336853,0.8140604496002197
0.001,16.0,30.0,384.0,64.0,0.44786182045936584,0.809461236000061
0.001,16.0,60.0,384.0,64.0,0.6692597270011902,0.789750337600708
0.001,16.0,60.0,384.0,64.0,0.5627036094665527,0.8042050004005432
0.001,16.0,60.0,384.0,64.0,0.5000841617584229,0.8114323019981384
0.001,32.0,20.0,384.0,64.0,0.4559039771556854,0.8061760663986206
0.001,32.0,20.0,384.0,64.0,0.44995442032814026,0.8068330883979797
0.001,32.0,20.0,384.0,64.0,0.43905648589134216,0.8048620223999023
0.001,32.0,30.0,384.0,64.0,0.4770868122577667,0.8061760663986206
0.001,32.0,30.0,384.0,64.0,0.4612917900085449,0.8048620223999023
0.001,32.0,30.0,384.0,64.0,0.4485689699649811,0.8055190443992615
0.001,32.0,60.0,384.0,64.0,0.5641663074493408,0.8048620223999023
0.001,32.0,60.0,384.0,64.0,0.524772047996521,0.815374493598938
0.001,32.0,60.0,384.0,64.0,0.48522767424583435,0.8074901700019836
0.001,64.0,20.0,384.0,64.0,0.444431871175766,0.8081471920013428
